event,formula,a,b,alt,g
TRACK_100,AU_track,24450,1212,,
TRACK_100H,AU_track,21800,727,,
TRACK_1000,AU_track,276912,838.5,,
TRACK_150,AU_track,36380,1200,,
TRACK_1500,AU_track,425682,788.5,,
TRACK_30,AU_track,8532,1035,,
TRACK_300,AU_track,78286,1204,,
TRACK_300H,AU_track,70800,872.5,,
TRACK_35,AU_track,9710,1073,,
TRACK_4x100,AU_track,95150,1189.5,,
TRACK_4x40,AU_track,41050,1053,,
TRACK_4x60,AU_track,59225,1130,,
TRACK_4x80,AU_track,77325,1168,,
TRACK_40,AU_track,10834,1096,,
TRACK_50,AU_track,13090,1141.5,,
TRACK_50H,AU_track,11985,790.5,,
TRACK_50H 84cm 4 horden,AU_track,11780,712.5,,
TRACK_60,AU_track,15365,1158,,
TRACK_60H,AU_track,14050,795.5,,
TRACK_60H 84cm 5 horden,AU_track,13820,714.5,,
TRACK_600,AU_track,160470.5,911.35,,
TRACK_80,AU_track,19933,1193,,
TRACK_80H,AU_track,18100,804.5,,
TRACK_800,AU_track,216604.8,884.5,,
DISCUS_THROW,au_field,166.79,438.5,,
HIGH_JUMP,au_field,1977.53,1798.5,((x ‑ 0.67) * 733.33333 + 0.7,1.35
SHOT_PUT,au_field,303.73,437.5,,
POLE_VAULT,au_field,795.66,686.5,,
JAVELIN_THROW,au_field,170.39,437.5,,
LONG_JUMP,au_field,887.99,1364.5,(x ‑ 1.91) * 200 + 0.5,4.41
